CUST_ID,OPEN_ACC_DUR,AGE,GENDER_CD,HASNT_HOME_ADDRESS_INF,HASNT_MOBILE_TEL_NUM_INF,LOCAL_CUR_SAV_SLOPE,LOCAL_CUR_MON_AVG_BAL,LOCAL_CUR_MON_AVG_BAL_PROP,LOCAL_CUR_ACCT_NUM,LOCAL_OVEONEYR_FF_MON_AVG_BAL,LOCAL_FIX_MON_AVG_BAL,LOCAL_FIX_MON_AVG_BAL_PROP,LOCAL_BELONEYR_FF_SLOPE,LOCAL_BELONEYR_FF_MON_AVG_BAL,LOCAL_OVEONEYR_FF_SLOPE,LOCAL_SAV_SLOPE,LOCAL_SAV_CUR_ALL_BAL,LOCAL_SAV_MON_AVG_BAL,SAV_SLOPE,SAV_CUR_ALL_BAL,SAV_MON_AVG_BAL,FR_SAV_CUR_ALL_BAL,ASSET_CUR_ALL_BAL,ASSET_MON_AVG_BAL,LOCAL_CUR_TRANS_TX_AMT,LOCAL_CUR_TRANS_TX_NUM,LOCAL_CUR_LASTSAV_TX_AMT,LOCAL_CUR_LASTSAV_TX_NUM,LOCAL_CUR_WITHDRAW_TX_AMT,LOCAL_CUR_WITHDRAW_TX_NUM,LOCAL_FIX_OPEN_ACC_TX_NUM,LOCAL_FIX_OPEN_ACC_TX_AMT,LOCAL_FIX_WITHDRAW_TX_NUM,LOCAL_FIX_WITHDRAW_TX_AMT,LOCAL_FIX_CLOSE_ACC_TX_NUM,LOCAL_FIX_CLOSE_ACC_TX_AMT,L6M_INDFINA_ALL_TX_NUM,L6M_INDFINA_ALL_TX_AMT,POS_CONSUME_TX_AMT,POS_CONSUME_TX_NUM,ATM_ACCT_TX_NUM,ATM_ACCT_TX_AMT,ATM_NOT_ACCT_TX_NUM,ATM_ALL_TX_NUM,COUNTER_NOT_ACCT_TX_NUM,COUNTER_ACCT_TX_AMT,COUNTER_ACCT_TX_NUM,COUNTER_ALL_TX_NUM,NAT_DEBT_OPEN_ACC_DUR,FINA_OPEN_ACC_DUR,FUND_OPEN_ACC_DUR,TELEBANK_ALL_TX_NUM,CHURN_CUST_IND
1,231,82,1,Y,N,0,0,0,0,50429.68,50429.68,1,0,0,-0.032394554,-0.032394554,41000,50429.68,-0.032394554,41000,50429.68,0,41000,50429.68,0,0,0,0,0,0,0,0,0,0,1,12270,0,0,0,0,0,0,0,0,0,12270,1,1,0,0,0,0,1
2,48,42,1,Y,N,1.005691857,20149.04,0.264435104,3,56047.5,56047.5,0.735564896,0,0,-0.14885717,0.003964787,31929.1,76196.54,0.003964787,31929.1,76196.54,0,31929.1,76196.54,50000,2,53550.6,3,0,0,0,0,3,41472.5,0,0,0,0,122212,1,2,50000,0,2,1,95024,6,7,0,0,0,0,1
3,102,31,2,Y,N,0.000561798,17.81,1,1,0,0,0,0,0,0,0.000561798,17.82,17.81,0.000561798,17.82,17.81,0,17.82,17.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,62,78,2,Y,N,-0.550912257,29359.21,1,1,0,0,0,0,0,0,-0.550912257,33273.57,29359.21,-0.550912257,33273.57,29359.21,0,33273.57,29359.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
5,79,46,1,Y,N,0.000288434,34.68,1,1,0,0,0,0,0,0,0.000288434,34.7,34.68,0.000288434,34.7,34.68,0,34.7,34.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,7,26,2,Y,Y,0,0,0,0,500000,500000,1,0,0,0,0,500000,500000,0,500000,500000,0,500000,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,28,27,2,Y,N,-0.984178414,243.03,0.001892715,1,6776.31,128159.81,0.998107285,-0.105591864,121383.5,1.903228709,-0.163000431,251.94,128402.84,-0.163000431,251.94,128402.84,0,251.94,128402.84,0,0,0,0,0,0,1,42013.1,1,50000,5,214312.16,0,0,0,0,0,0,0,0,1,306325,7,8,0,0,0,0,1
8,33,24,2,N,N,-0.14608593,61900.47,1,1,0,0,0,0,0,0,-0.14608593,30109.01,61900.47,-0.14608593,30109.01,61900.47,0,30109.01,61900.47,0,0,0,0,47000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47000,1,1,0,0,0,0,1
9,53,58,2,N,N,0,3.61,1,1,0,0,0,0,0,0,0,3.61,3.61,0,3.61,3.61,0,3.61,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,50,60,2,Y,Y,0.000410509,24.37,1,1,0,0,0,0,0,0,0.000410509,24.38,24.37,0.000410509,24.38,24.37,0,24.38,24.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
